timestamp,cpu,memory,ping
2025-06-25T23:36:58.365Z,4.80,106520576,1
2025-06-25T23:37:00.109Z,28.00,115208192,1
2025-06-25T23:37:02.109Z,20.35,123437056,1
2025-06-25T23:37:04.109Z,19.55,122851328,1
